LGA_code,LGA_name,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total females
20110,Alpine (S),254,313,389,346,275,278,298,337,414,498,422,569,527,440,464,310,220,193,6547
20260,Ararat (RC),275,285,349,309,237,257,305,283,303,322,395,406,429,382,327,286,185,228,5563
20570,Ballarat (C),3388,3500,3568,3274,3973,4256,3730,3604,3425,3594,3442,3524,3396,3023,2734,1882,1436,1658,57407
20660,Banyule (C),3804,4124,3906,3237,3787,4334,4806,4890,4722,4553,4235,4063,3931,3528,3181,2375,1783,2110,67369
20740,Bass Coast (S),929,986,1003,919,697,781,964,1024,1028,1086,1166,1417,1642,1668,1475,987,598,732,19102
20830,Baw Baw (S),1672,1785,1870,1566,1568,1729,1747,1678,1602,1677,1784,1948,1825,1728,1527,1065,677,657,28105
20910,Bayside (C),2379,3289,3962,3629,3053,2448,2202,3254,3615,4736,4374,4004,3427,3052,2780,2080,1452,2260,55996
21010,Benalla (RC),348,351,391,389,284,286,372,348,335,415,494,596,575,604,501,368,275,300,7232
21110,Boroondara (C),3570,4876,5982,6505,7354,7302,6176,5572,5868,6824,6583,6001,5120,4348,4181,2988,2304,3038,94592
21180,Brimbank (C),6389,6159,5657,5978,6916,8101,7948,7226,6211,6737,6439,6096,5989,5297,4353,2861,1987,2164,102508
21270,Buloke (S),145,161,193,151,103,70,148,118,129,188,199,245,258,202,166,160,120,192,2948
21370,Campaspe (S),991,1185,1176,1109,986,853,930,989,999,1167,1317,1415,1342,1282,1097,821,666,670,18995
21450,Cardinia (S),4512,4470,4088,3561,3531,4765,5000,4463,3807,3866,3379,3209,2732,2239,2060,1366,767,764,58579
21610,Casey (C),13550,13996,12415,11106,12051,13751,15525,15598,12469,11887,10699,9708,8378,6607,5415,3558,2471,2531,181715
21670,Central Goldfields (S),248,336,359,357,304,251,289,286,287,395,420,517,527,576,494,381,296,275,6598
21750,Colac-Otway (S),580,629,637,596,537,525,527,592,541,697,748,745,828,763,635,485,341,386,10792
21830,Corangamite (S),401,463,488,431,351,336,349,383,383,487,551,619,625,546,495,346,321,286,7861
21890,Darebin (C),4385,4062,3797,3451,6198,8789,8940,7554,5811,5677,5156,4526,3857,3139,2702,2292,2141,2639,85116
22110,East Gippsland (S),1168,1289,1336,1226,906,1016,1122,1127,1134,1374,1570,1807,1975,2104,1889,1317,881,863,24104
22170,Frankston (C),4605,4352,4077,3768,4071,4845,5425,5344,4740,5145,4728,4676,4225,3691,3272,2383,1663,1905,72915
22250,Gannawarra (S),242,267,274,292,207,172,222,243,234,302,352,382,420,420,377,303,207,219,5135
22310,Glen Eira (C),4191,4679,4649,4241,5538,7042,6854,6122,5321,5579,5053,4543,4081,3449,3165,2100,1825,2680,81112
22410,Glenelg (S),491,510,542,582,435,391,390,506,534,664,751,783,816,756,561,457,312,350,9831
22490,Golden Plains (S),732,882,969,857,595,523,736,827,820,920,848,798,734,601,517,278,122,141,11900
22620,Greater Bendigo (C),3753,3804,3793,3536,4095,4234,3994,3800,3550,3860,3666,3966,3891,3395,2848,2040,1537,1674,61436
22670,Greater Dandenong (C),5397,4836,4257,4594,5590,6822,7011,6239,4856,4822,4463,4532,4539,3936,3469,2481,1872,2101,81817
22750,Greater Geelong (C),7650,8023,7651,7381,8710,9437,9303,8693,7871,8749,8034,8446,8246,7577,6761,4813,3436,4193,134974
22830,Greater Shepparton (C),2059,2178,2226,2012,1919,2023,2197,2077,1898,2149,2075,2162,2017,1872,1588,1140,885,950,33427
22910,Hepburn (S),369,399,509,370,283,263,363,423,450,569,616,670,765,722,582,382,227,298,8260
22980,Hindmarsh (S),146,135,145,152,129,107,126,137,118,161,197,232,213,209,168,154,93,164,2786
23110,Hobsons Bay (C),3069,3162,2718,2310,2451,3119,3973,3927,3620,3547,3281,3164,2872,2350,2015,1462,1123,1513,49676
23190,Horsham (RC),629,598,676,548,516,619,631,588,544,623,618,663,681,606,472,408,333,419,10172
23270,Hume (C),9216,9031,8092,7341,8203,9485,10749,9741,7671,7291,7260,6766,5606,4628,3614,2429,1615,1543,120281
23350,Indigo (S),417,509,555,575,350,236,377,415,536,650,617,685,704,627,547,277,184,227,8488
23430,Kingston (C) (Vic.),4681,4880,4705,4397,4544,5119,6161,6325,5946,6262,5954,5162,4869,4260,3843,2903,2323,2854,85188
23670,Knox (C),4534,4916,4532,4721,5384,5545,5852,5906,5520,5777,5807,5586,5124,4492,3643,2711,1921,2054,84025
23810,Latrobe (C) (Vic.),2264,2250,2210,2110,2165,2685,2574,2337,2051,2371,2406,2752,2665,2282,1990,1322,1018,1098,38550
23940,Loddon (S),157,194,213,228,116,82,122,162,156,218,278,329,316,283,266,176,124,168,3588
24130,Macedon Ranges (S),1524,1856,1747,1640,1192,902,1191,1723,1806,2110,1879,1799,1587,1497,1290,790,468,475,25476
24210,Manningham (C),3005,3757,3558,3664,4013,3769,3808,4308,4142,4457,4473,4424,4091,3493,3425,2901,2341,2527,66156
24250,Mansfield (S),182,269,323,330,170,194,211,280,261,280,285,365,387,370,332,220,123,115,4697
24330,Maribyrnong (C),2923,2326,1914,1778,3291,5275,5682,4702,3469,3018,2693,2348,2019,1608,1230,856,684,914,46730
24410,Maroondah (C),3500,3680,3628,3111,3486,3853,4641,4700,4146,4195,3993,3810,3372,3010,2741,2057,1480,1700,61103
24600,Melbourne (C),2342,1739,1305,4963,20115,19791,12814,7136,4016,3360,2994,2972,2552,2273,1788,1128,747,898,92933
