LGA_code,LGA_name,0-14 count,"0-14 ASR per 100,000",0-14 SR,15-24 count,"15-24 ASR per 100,000",15-24 SR
PHN101,Central and Eastern Sydney,"1,206",457.7,62,626,271.1,68
11100,Botany Bay (C),38,408.8,56,16,226.9,57
11300,Burwood (A),29,561,76,17,225.8,57
11520,Canada Bay (A),83,499.7,68,37,317.6,80
11570a,Canterbury-Bankstown (A) - part a,243,703.3,95,76,348.6,88
12930,Georges River (A),101,381.5,52,65,284.5,71
14170,Inner West (A),142,436.4,59,61,261.8,66
16550,Randwick (C),101,427.5,58,60,217,54
16650,Rockdale (C),113,529.7,72,51,316.5,79
17100,Strathfield (A),37,494.4,67,12,165.3,42
17150,Sutherland Shire (A),190,444.6,60,123,442.8,111
17200,Sydney (C),95,409.2,56,67,146.7,37
18050,Waverley (A),43,329.7,45,30,415.5,104
18500,Woollahra (A),24,268.5,36,18,278.2,70
19399a,Unincorporated NSW - part a,#,..,..,#,..,..
PHN102,Northern Sydney,821,490.8,67,336,290.2,73
14000,Hornsby (A),123,451.6,61,63,316.6,79
14100,Hunters Hill (A),10,413.7,56,6,269.1,68
14500,Ku-ring-gai (A),87,414,56,48,270.4,68
14700,Lane Cove (A),43,547.9,74,17,388.4,98
15350,Mosman (A),31,630.7,86,11,336.3,84
15950,North Sydney (A),96,814.5,111,30,506.8,127
15990,Northern Beaches (A),216,432.5,59,83,266.6,67
16260a,Parramatta (C) - part a,26,521.7,71,9,334.5,84
16700,Ryde (C),114,511,69,41,226.8,57
18250,Willoughby (C),86,566.1,77,30,312.3,78
PHN103,Western Sydney,"1,281",575.2,78,549,414.4,104
10750,Blacktown (C),494,560.2,76,215,426.8,107
12380,Cumberland (A),377,700.3,95,190,583.1,146
16260b,Parramatta (C) - part b,247,521.7,71,88,334.5,84
17420,The Hills Shire (A),152,452,61,55,228.7,57
PHN104,Nepean Blue Mountains,713,926.8,126,168,341,86
10900,Blue Mountains (C),87,649.7,88,19,207,52
13800,Hawkesbury (C),82,631,86,22,235.1,59
14870,Lithgow (C),29,813,110,#,..,..
16350,Penrith (C),516,"1,099.60",149,126,440.1,110
PHN105,South Western Sydney,"1,837",830.7,113,426,297.8,75
11450,Camden (A),283,"1,119.90",152,44,338.5,85
11500,Campbelltown (C),386,"1,003.40",136,86,369.6,93
11570b,Canterbury-Bankstown (A) - part b,321,703.3,95,101,348.6,88
12850,Fairfield (C),287,738.1,100,73,232.9,58
14900,Liverpool (C),384,740.1,100,95,294.9,74
18350,Wingecarribee (A),62,768.8,104,7,125.3,31
18400,Wollondilly (A),81,724,98,12,175.2,44
PHN106,South Eastern NSW,552,502.4,68,230,302.7,76
10550,Bega Valley (A),34,674.2,92,10,336.5,84
12750,Eurobodalla (A),8,149.6,20,6,170.6,43
13310,Goulburn Mulwaree (A),41,748.8,102,9,258.9,65
14400,Kiama (A),13,345.9,47,9,352.6,89
16490,Queanbeyan-Palerang Regional (A),57,463.4,63,24,353,89
16900,Shellharbour (C),84,594,81,27,282.7,71
16950,Shoalhaven (C),130,752,102,23,216.7,54
17040,Snowy Monaro Regional (A),14,434.4,59,7,335.7,84
17640,Upper Lachlan Shire (A),6,447.8,61,#,..,..
18450,Wollongong (C),154,398.7,54,104,328.3,82
18710,Yass Valley (A),10,294.2,40,7,383.8,96
PHN107,Western NSW,612,968.9,132,141,385.7,97
10300,Balranald (A),#,..,..,#,..,..
10470,Bathurst Regional (A),80,976,133,38,586.9,147
10850,Blayney (A),11,786.5,107,#,..,..
10950,Bogan (A),#,..,..,#,..,..
11150,Bourke (A),#,..,..,#,..,..
11200,Brewarrina (A),#,..,..,#,..,..
11250,Broken Hill (C),36,"1,196.00",162,5,286.4,72
11400,Cabonne (A),20,795.6,108,#,..,..
11700,Central Darling (A),#,..,..,#,..,..
11750,Cobar (A),#,..,..,#,..,..
12150,Coonamble (A),#,..,..,#,..,..
12350,Cowra (A),9,418,57,#,..,..
18230,Dubbo Regional (A),277,"2,336.30",317,26,390.7,98
12900,Forbes (A),7,336.5,46,#,..,..
12950,Gilgandra (A),7,839.6,114,#,..,..
14600a,Lachlan (A) - part a,#,..,..,#,..,..
15270,Mid-Western Regional (A),17,330.9,45,5,197.3,50
15850,Narromine (A),10,729,99,#,..,..
16100,Oberon (A),#,..,..,#,..,..
16150,Orange (C),61,644.4,87,8,158.8,40
16200,Parkes (A),#,..,..,11,597,150
17900,Walgett (A),10,816.1,111,#,..,..
17950,Warren (A),#,..,..,#,..,..
18020,Warrumbungle Shire (A),14,858.9,117,#,..,..
18100,Weddin (A),#,..,..,#,..,..
18200,Wentworth (A),9,656.7,89,#,..,..
19399b,Unincorporated NSW - part b,#,..,..,#,..,..
PHN108,Hunter New England and Central Coast,"1,371",582.3,79,423,274.9,69
10130,Armidale Regional (A),38,713.3,97,9,159.4,40
11650,Central Coast (C),426,678.8,92,127,313.8,79
11720,Cessnock (C),50,394.1,54,14,195.9,49
12700,Dungog (A),6,367.6,50,#,..,..
13010,Glen Innes Severn (A),9,653.6,89,#,..,..
13550,Gunnedah (A),20,721.6,98,#,..,..
13660,Gwydir (A),#,..,..,#,..,..
14200,Inverell (A),16,493.4,67,7,359.3,90
14650,Lake Macquarie (C),204,530.1,72,44,182.9,46
14920,Liverpool Plains (A),8,557.1,76,#,..,..
15050,Maitland (C),108,593.7,81,21,201,50
15240,Mid-Coast (A),82,606.4,82,31,365.9,92
15300,Moree Plains (A),11,363.3,49,6,400.2,100
15650,Muswellbrook (A),20,536,73,5,256.1,64
15750,Narrabri (A),15,516.6,70,8,561.7,141
15900,Newcastle (C),119,419.3,57,58,235.1,59
16400,Port Stephens (A),67,544.2,74,16,198,50
17000,Singleton (A),19,392.7,53,19,660.7,166
17310,Tamworth Regional (A),110,883.4,120,27,371.5,93
17400a,Tenterfield (A) - part a,6,733.4,100,#,..,..
17620,Upper Hunter Shire (A),22,834.5,113,10,668.8,168
17650,Uralla (A),6,623,85,#,..,..
17850,Walcha (A),#,..,..,#,..,..
PHN109,North Coast,561,664.4,90,184,342.7,86
10250,Ballina (A),51,746,101,11,236.6,59
10600,Bellingen (A),8,416.2,57,#,..,..
11350,Byron (A),27,462.6,63,8,243.9,61
11730,Clarence Valley (A),55,677.7,92,19,373.3,94
11800,Coffs Harbour (C),70,514.7,70,37,438.6,110
14350,Kempsey (A),30,585.7,80,10,341.2,86
14550,Kyogle (A),9,747.3,101,#,..,..
14850,Lismore (C),73,"1,015.90",138,22,414.3,104
15700,Nambucca (A),12,370.9,50,#,..,..
16380,Port Macquarie-Hastings (A),79,620.2,84,25,312.7,78
16610,Richmond Valley (A),36,810.1,110,9,317.9,80
17400b,Tenterfield (A) - part b,#,..,..,#,..,..
17550,Tweed (A),114,723.3,98,34,347.1,87
PHN110,Murrumbidgee,341,725.5,99,200,686.6,172
10650,Berrigan (A),7,489.7,66,#,..,..
10800,Bland (A),#,..,..,#,..,..
11600,Carrathool (A),#,..,..,#,..,..
12000,Coolamon (A),8,"1,061.90",144,6,"1,252.00",314
13510,Cootamundra-Gundagai Regional (A) ,14,749.8,102,11,907.7,228
12730,Edward River (A),8,465.1,63,5,546.5,137
12870,Federation (A),10,505.8,69,#,..,..
13340,Greater Hume Shire (A),7,353.6,48,#,..,..
13450,Griffith (C),38,664.2,90,13,387.1,97
13850,Hay (A),#,..,..,#,..,..
13910,Hilltops (A),15,431.8,59,20,987.5,248
14300,Junee (A),8,681.9,93,6,810.7,204
14600b,Lachlan (A) - part b,#,..,..,#,..,..
14750,Leeton (A),15,647.4,88,6,408.8,103
14950,Lockhart (A),6,899.3,122,#,..,..
15520,Murray River (A),13,642.1,87,#,..,..
15560,Murrumbidgee (A),5,682.8,93,#,..,..
15800,Narrandera (A),8,619.9,84,#,..,..
17080,Snowy Valleys (A),26,961.8,131,13,936.6,235
17350,Temora (A),8,646.2,88,6,920.1,231
17750,Wagga Wagga (C),133,978.8,133,85,887.3,223
PHN201,North Western Melbourne,"2,493",688.6,93,"1,019",381.1,96
21180,Brimbank (C),235,578.9,79,136,464.5,117
21890,Darebin (C),165,610.3,83,52,247.2,62
23110,Hobsons Bay (C),137,715.1,97,39,374.1,94
23270,Hume (C),498,922.9,125,213,662.4,166
24130a,Macedon Ranges (S) - part a,30,468.5,64,9,248.3,62
24330,Maribyrnong (C),115,681,92,46,384.8,97
24600,Melbourne (C),109,809.7,110,96,181.1,45
24650,Melton (C),271,678.9,92,85,408.2,102
25060,Moonee Valley (C),173,797.7,108,77,479.3,120
25150a,Moorabool (S) - part a,28,640.7,87,13,517.1,130
25250,Moreland (C),245,740.9,101,90,392.7,99
27260,Wyndham (C),373,506.9,69,130,413.3,104
27350,Yarra (C),103,813.9,111,31,263.1,66
PHN202,Eastern Melbourne,"2,020",731,99,680,308.1,77
20660,Banyule (C),149,613,83,59,383.2,96
21110,Boroondara (C),109,419.7,57,53,184.9,46
23670,Knox (C),255,887.1,120,83,385.3,97
24210,Manningham (C),72,371.6,50,45,272.9,68
24410,Maroondah (C),168,738.5,100,35,247.4,62
