LGA_code,LGA_name,0-14 count,"0-14 ASR per 100,000",0-14 SR,15-24 count,"15-24 ASR per 100,000",15- 24SR
PHN101,Central and Eastern Sydney,582,232.4,105,265,117.7,65
11100,Botany Bay (C),40,462.6,210,9,130.1,71
11300,Burwood (A),16,324.5,147,#,..,..
11520,Canada Bay (A),38,242,110,#,..,..
11570a,Canterbury-Bankstown (A) - part a,67,201.7,91,45,203.4,112
12930,Georges River (A),31,118.4,54,44,195.8,107
14170,Inner West (A),84,276.3,125,33,144.6,79
16550,Randwick (C),78,343.2,156,20,74.6,41
16650,Rockdale (C),58,291.6,132,13,83.7,46
17100,Strathfield (A),16,229.1,104,#,..,..
17150,Sutherland Shire (A),107,247.3,112,69,246.2,135
17200,Sydney (C),41,218.4,99,11,25.7,14
18050,Waverley (A),7,55.6,25,#,..,..
18500,Woollahra (A),8,93.7,42,#,..,..
19399a,Unincorporated NSW - part a,#,..,..,#,..,..
PHN102,Northern Sydney,339,196.9,89,152,130.2,72
14000,Hornsby (A),64,220.9,100,29,145.2,80
14100,Hunters Hill (A),#,..,..,#,..,..
14500,Ku-ring-gai (A),44,182.4,83,32,175.8,97
14700,Lane Cove (A),12,165.1,75,#,..,..
15350,Mosman (A),8,152.4,69,18,540.6,297
15950,North Sydney (A),20,190.1,86,#,..,..
15990,Northern Beaches (A),93,179.7,81,28,88.7,49
16260a,Parramatta (C) - part a,11,240.6,109,6,203.3,112
16700,Ryde (C),60,279.5,127,18,102.4,56
18250,Willoughby (C),26,168.1,76,9,93.8,52
PHN103,Western Sydney,544,252.8,115,203,153.3,84
10750,Blacktown (C),258,301,136,77,153,84
12380,Cumberland (A),102,203.5,92,47,147.5,81
16260b,Parramatta (C) - part b,106,240.6,109,53,203.3,112
17420,The Hills Shire (A),76,210.1,95,28,113.7,62
PHN104,Nepean Blue Mountains,205,266.3,121,80,160.3,88
10900,Blue Mountains (C),61,430.8,195,9,96.2,53
13800,Hawkesbury (C),50,374.9,170,17,176.6,97
14870,Lithgow (C),7,183.8,83,#,..,..
16350,Penrith (C),88,192.3,87,54,188.9,104
PHN105,South Western Sydney,545,248.8,113,247,171.4,94
11450,Camden (A),49,202.3,92,39,297.7,163
11500,Campbelltown (C),89,238.1,108,38,160.6,88
11570b,Canterbury-Bankstown (A) - part b,89,201.7,91,59,203.4,112
12850,Fairfield (C),147,373.5,169,53,168.6,93
14900,Liverpool (C),106,207.9,94,41,126.7,70
18350,Wingecarribee (A),29,333.8,151,14,241.5,133
18400,Wollondilly (A),24,210.2,95,10,139.8,77
PHN106,South Eastern NSW,257,229.2,104,112,146.7,81
10550,Bega Valley (A),22,409.6,186,#,..,..
12750,Eurobodalla (A),6,105.6,48,#,..,..
13310,Goulburn Mulwaree (A),16,286,130,8,232.7,128
14400,Kiama (A),18,458,208,#,..,..
16490,Queanbeyan-Palerang Regional (A),13,110,50,10,141.2,78
16900,Shellharbour (C),52,361,164,36,372.9,205
16950,Shoalhaven (C),35,198,90,15,139.4,77
17040,Snowy Monaro Regional (A),#,..,..,#,..,..
17640,Upper Lachlan Shire (A),#,..,..,#,..,..
18450,Wollongong (C),84,216.6,98,24,76.4,42
18710,Yass Valley (A),7,200.9,91,#,..,..
PHN107,Western NSW,145,228,103,111,297.8,163
10300,Balranald (A),5,"1,045.60",474,#,..,..
10470,Bathurst Regional (A),11,130.5,59,41,631.8,347
10850,Blayney (A),#,..,..,#,..,..
10950,Bogan (A),#,..,..,#,..,..
11150,Bourke (A),#,..,..,#,..,..
11200,Brewarrina (A),#,..,..,#,..,..
11250,Broken Hill (C),18,585.3,265,19,"1,038.80",570
11400,Cabonne (A),#,..,..,#,..,..
11700,Central Darling (A),#,..,..,#,..,..
11750,Cobar (A),#,..,..,#,..,..
12150,Coonamble (A),#,..,..,#,..,..
12350,Cowra (A),#,..,..,#,..,..
18230,Dubbo Regional (A),41,353.3,160,8,120.2,66
12900,Forbes (A),7,359.6,163,#,..,..
12950,Gilgandra (A),#,..,..,#,..,..
14600a,Lachlan (A) - part a,#,..,..,#,..,..
15270,Mid-Western Regional (A),6,110.8,50,#,..,..
15850,Narromine (A),#,..,..,#,..,..
16100,Oberon (A),#,..,..,#,..,..
16150,Orange (C),9,94.6,43,8,163,89
16200,Parkes (A),#,..,..,#,..,..
17900,Walgett (A),#,..,..,#,..,..
17950,Warren (A),#,..,..,#,..,..
18020,Warrumbungle Shire (A),#,..,..,#,..,..
18100,Weddin (A),#,..,..,#,..,..
18200,Wentworth (A),15,"1,073.20",486,#,..,..
19399b,Unincorporated NSW - part b,#,..,..,#,..,..
PHN108,Hunter New England and Central Coast,466,194.5,88,277,178.5,98
10130,Armidale Regional (A),21,390.9,177,8,138.6,76
11650,Central Coast (C),127,198.3,90,74,180.9,99
11720,Cessnock (C),23,179.5,81,25,345,189
12700,Dungog (A),#,..,..,#,..,..
13010,Glen Innes Severn (A),6,381.1,173,#,..,..
13550,Gunnedah (A),6,233.7,106,#,..,..
13660,Gwydir (A),#,..,..,#,..,..
14200,Inverell (A),#,..,..,#,..,..
14650,Lake Macquarie (C),98,253.7,115,40,164.1,90
