LGA_code,LGA_name,0-14 count,"0-14 ASR per 100,002",0-14 SR,15-24 count,"15-24 ASR per 100,002",15- 24SR
PHN101,Central and Eastern Sydney,187,76.9,62,264,116.3,71
11100,Botany Bay (C),7,84.3,68,20,287.3,176
11300,Burwood (A),#,..,..,8,110,67
11520,Canada Bay (A),#,..,..,21,186.7,114
11570a,Canterbury-Bankstown (A) - part a,41,124.6,101,38,172.7,106
12930,Georges River (A),18,69.7,56,35,154.7,95
14170,Inner West (A),40,137.5,111,22,97.4,60
16550,Randwick (C),15,67.5,55,24,88.6,54
16650,Rockdale (C),12,65,53,22,137.9,84
17100,Strathfield (A),9,138.2,112,#,..,..
17150,Sutherland Shire (A),24,55,45,34,122.1,75
17200,Sydney (C),#,..,..,33,74.6,46
18050,Waverley (A),7,61.3,50,#,..,..
18500,Woollahra (A),#,..,..,6,91.1,56
19399a,Unincorporated NSW - part a,#,..,..,#,..,..
PHN102,Northern Sydney,129,73.6,60,147,126.1,77
14000,Hornsby (A),30,101.5,82,39,193.9,119
14100,Hunters Hill (A),#,..,..,#,..,..
14500,Ku-ring-gai (A),17,65.8,53,19,105.2,64
14700,Lane Cove (A),#,..,..,#,..,..
15350,Mosman (A),6,110.5,89,#,..,..
15950,North Sydney (A),7,75.6,61,11,193.9,119
15990,Northern Beaches (A),40,75.8,61,37,117.8,72
16260a,Parramatta (C) - part a,#,..,..,#,..,..
16700,Ryde (C),10,50.2,41,20,111.3,68
18250,Willoughby (C),10,64.8,52,7,73.5,45
PHN103,Western Sydney,132,62.3,50,168,126.9,78
10750,Blacktown (C),62,73.5,59,62,121.9,74
12380,Cumberland (A),33,68.1,55,45,140.2,86
16260b,Parramatta (C) - part b,20,46.7,38,36,138.7,85
17420,The Hills Shire (A),18,46.9,38,27,112.4,69
PHN104,Nepean Blue Mountains,111,144.7,117,78,157.4,96
10900,Blue Mountains (C),19,130.7,106,6,64.9,40
13800,Hawkesbury (C),24,180.6,146,15,165.2,101
14870,Lithgow (C),#,..,..,#,..,..
16350,Penrith (C),63,140.7,114,56,197.6,121
PHN105,South Western Sydney,276,126.7,102,215,149.8,92
11450,Camden (A),44,184.7,149,17,132.9,81
11500,Campbelltown (C),64,174,141,49,208.3,127
11570b,Canterbury-Bankstown (A) - part b,54,124.6,101,50,172.7,106
12850,Fairfield (C),33,81.7,66,33,106.1,65
14900,Liverpool (C),45,88.6,72,39,118.8,73
18350,Wingecarribee (A),17,188.1,152,9,157,96
18400,Wollondilly (A),17,147.9,120,11,159.6,98
PHN106,South Eastern NSW,112,98.8,80,101,132.5,81
10550,Bega Valley (A),13,225.8,183,7,206.8,126
12750,Eurobodalla (A),8,146.3,118,7,223.8,137
13310,Goulburn Mulwaree (A),13,219.8,178,13,366.1,224
14400,Kiama (A),#,..,..,#,..,..
16490,Queanbeyan-Palerang Regional (A),13,104.2,84,10,141.2,86
16900,Shellharbour (C),7,48.1,39,14,145.5,89
16950,Shoalhaven (C),13,72.9,59,8,75,46
17040,Snowy Monaro Regional (A),5,143.9,116,#,..,..
17640,Upper Lachlan Shire (A),#,..,..,#,..,..
18450,Wollongong (C),29,74.6,60,36,114.3,70
18710,Yass Valley (A),6,156.4,127,#,..,..
PHN107,Western NSW,65,101.8,82,62,167.4,102
10300,Balranald (A),#,..,..,#,..,..
10470,Bathurst Regional (A),20,239.4,194,16,241.4,148
10850,Blayney (A),#,..,..,#,..,..
10950,Bogan (A),#,..,..,#,..,..
11150,Bourke (A),#,..,..,#,..,..
11200,Brewarrina (A),#,..,..,#,..,..
11250,Broken Hill (C),#,..,..,#,..,..
11400,Cabonne (A),#,..,..,#,..,..
11700,Central Darling (A),#,..,..,#,..,..
11750,Cobar (A),#,..,..,#,..,..
12150,Coonamble (A),#,..,..,#,..,..
12350,Cowra (A),#,..,..,#,..,..
18230,Dubbo Regional (A),11,95.2,77,8,119.2,73
12900,Forbes (A),#,..,..,#,..,..
12950,Gilgandra (A),#,..,..,#,..,..
14600a,Lachlan (A) - part a,#,..,..,#,..,..
15270,Mid-Western Regional (A),8,143.6,116,#,..,..
15850,Narromine (A),#,..,..,#,..,..
16100,Oberon (A),#,..,..,#,..,..
16150,Orange (C),6,66.5,54,#,..,..
16200,Parkes (A),#,..,..,#,..,..
17900,Walgett (A),#,..,..,#,..,..
17950,Warren (A),#,..,..,#,..,..
18020,Warrumbungle Shire (A),#,..,..,6,606.1,370
18100,Weddin (A),#,..,..,#,..,..
18200,Wentworth (A),#,..,..,#,..,..
19399b,Unincorporated NSW - part b,#,..,..,#,..,..
PHN108,Hunter New England and Central Coast,251,103.8,84,223,144.1,88
10130,Armidale Regional (A),8,146.1,118,6,102.3,62
11650,Central Coast (C),86,132.7,107,69,169.3,103
11720,Cessnock (C),6,47.9,39,9,117.9,72
12700,Dungog (A),#,..,..,#,..,..
13010,Glen Innes Severn (A),#,..,..,#,..,..
13550,Gunnedah (A),#,..,..,#,..,..
13660,Gwydir (A),#,..,..,#,..,..
14200,Inverell (A),#,..,..,#,..,..
14650,Lake Macquarie (C),27,70.1,57,26,107,65
14920,Liverpool Plains (A),5,328.8,266,#,..,..
15050,Maitland (C),13,72.1,58,11,107.9,66
15240,Mid-Coast (A),17,115.2,93,9,104.4,64
15300,Moree Plains (A),#,..,..,#,..,..
15650,Muswellbrook (A),#,..,..,#,..,..
15750,Narrabri (A),5,173.3,140,#,..,..
15900,Newcastle (C),28,100.1,81,20,80,49
16400,Port Stephens (A),15,115.2,93,11,137.9,84
