LGA_code,LGA_name,0-14 count,"0-14 ASR per 100,002",0-14 SR,15-24 count,"15-24 ASR per 100,002",15- 24SR
PHN101,Central and Eastern Sydney,299,116.8,42,56,24.6,41
11100,Botany Bay (C),15,168.4,60,#,..,..
11300,Burwood (A),#,..,..,#,..,..
11520,Canada Bay (A),8,50.9,18,#,..,..
11570a,Canterbury-Bankstown (A) - part a,61,179.3,64,9,40,67
12930,Georges River (A),36,136.8,49,7,32.4,54
14170,Inner West (A),27,86.4,31,5,23,38
16550,Randwick (C),26,112.4,40,7,26,43
16650,Rockdale (C),28,138,49,#,..,..
17100,Strathfield (A),6,88.5,31,#,..,..
17150,Sutherland Shire (A),57,132.8,47,11,39.4,66
17200,Sydney (C),19,91.1,32,#,..,..
18050,Waverley (A),9,72.5,26,#,..,..
18500,Woollahra (A),#,..,..,#,..,..
19399a,Unincorporated NSW - part a,#,..,..,#,..,..
PHN102,Northern Sydney,183,107.2,38,22,19.2,32
14000,Hornsby (A),35,125,45,#,..,..
14100,Hunters Hill (A),#,..,..,#,..,..
14500,Ku-ring-gai (A),17,74.8,27,#,..,..
14700,Lane Cove (A),7,89.7,32,#,..,..
15350,Mosman (A),#,..,..,#,..,..
15950,North Sydney (A),11,103.7,37,#,..,..
15990,Northern Beaches (A),61,119.5,43,12,38.1,64
16260a,Parramatta (C) - part a,5,103.2,37,#,..,..
16700,Ryde (C),29,133.1,47,#,..,..
18250,Willoughby (C),13,82.4,29,#,..,..
PHN103,Western Sydney,335,152.7,54,32,24,40
10750,Blacktown (C),164,188.6,67,8,15.6,26
12380,Cumberland (A),93,179.7,64,15,46.1,77
16260b,Parramatta (C) - part b,47,103.2,37,5,19.5,33
17420,The Hills Shire (A),30,85.1,30,#,..,..
PHN104,Nepean Blue Mountains,202,261.7,93,21,43,72
10900,Blue Mountains (C),27,195.9,70,#,..,..
13800,Hawkesbury (C),32,241.6,86,#,..,..
14870,Lithgow (C),9,246.4,88,#,..,..
16350,Penrith (C),134,290.1,103,17,61.1,102
PHN105,South Western Sydney,405,184.5,66,40,27.7,46
11450,Camden (A),58,232.4,83,#,..,..
11500,Campbelltown (C),96,253.4,90,9,38.1,64
11570b,Canterbury-Bankstown (A) - part b,80,179.3,64,12,40,67
12850,Fairfield (C),44,112.4,40,#,..,..
14900,Liverpool (C),79,152.9,54,10,31.3,52
18350,Wingecarribee (A),13,155.4,55,#,..,..
18400,Wollondilly (A),34,297.3,106,#,..,..
PHN106,South Eastern NSW,368,332,118,27,35.4,59
10550,Bega Valley (A),39,735.1,262,#,..,..
12750,Eurobodalla (A),26,494.9,176,#,..,..
13310,Goulburn Mulwaree (A),15,260.5,93,#,..,..
14400,Kiama (A),8,208.2,74,#,..,..
16490,Queanbeyan-Palerang Regional (A),33,265.7,95,#,..,..
16900,Shellharbour (C),55,385.7,137,#,..,..
16950,Shoalhaven (C),65,372.7,133,5,46.6,78
17040,Snowy Monaro Regional (A),7,219.4,78,#,..,..
17640,Upper Lachlan Shire (A),#,..,..,#,..,..
18450,Wollongong (C),113,291.8,104,9,28.6,48
18710,Yass Valley (A),6,168.3,60,#,..,..
PHN107,Western NSW,364,574.1,204,32,86.8,145
10300,Balranald (A),#,..,..,#,..,..
10470,Bathurst Regional (A),33,394.2,140,#,..,..
10850,Blayney (A),#,..,..,#,..,..
10950,Bogan (A),#,..,..,#,..,..
11150,Bourke (A),#,..,..,#,..,..
11200,Brewarrina (A),#,..,..,#,..,..
11250,Broken Hill (C),17,556.4,198,#,..,..
11400,Cabonne (A),14,522.5,186,#,..,..
11700,Central Darling (A),#,..,..,#,..,..
11750,Cobar (A),6,537.8,191,#,..,..
12150,Coonamble (A),#,..,..,#,..,..
12350,Cowra (A),9,382.2,136,6,416.1,696
18230,Dubbo Regional (A),135,"1,155.70",411,#,..,..
12900,Forbes (A),9,444.1,158,#,..,..
12950,Gilgandra (A),#,..,..,#,..,..
14600a,Lachlan (A) - part a,#,..,..,#,..,..
15270,Mid-Western Regional (A),22,431.3,154,#,..,..
15850,Narromine (A),8,528.1,188,#,..,..
16100,Oberon (A),#,..,..,#,..,..
16150,Orange (C),45,476.1,170,#,..,..
16200,Parkes (A),#,..,..,#,..,..
17900,Walgett (A),10,805.9,287,#,..,..
17950,Warren (A),#,..,..,#,..,..
18020,Warrumbungle Shire (A),11,666.4,237,#,..,..
18100,Weddin (A),#,..,..,#,..,..
18200,Wentworth (A),#,..,..,#,..,..
19399b,Unincorporated NSW - part b,#,..,..,#,..,..
PHN108,Hunter New England and Central Coast,644,271.1,97,60,38.7,65
10130,Armidale Regional (A),12,222.4,79,#,..,..
11650,Central Coast (C),220,347.3,124,15,36.7,61
11720,Cessnock (C),16,129.8,46,#,..,..
12700,Dungog (A),#,..,..,#,..,..
13010,Glen Innes Severn (A),#,..,..,#,..,..
13550,Gunnedah (A),11,395.7,141,#,..,..
13660,Gwydir (A),#,..,..,#,..,..
14200,Inverell (A),17,492.4,175,#,..,..
14650,Lake Macquarie (C),93,241.2,86,9,36.8,62
14920,Liverpool Plains (A),#,..,..,#,..,..
15050,Maitland (C),38,207.3,74,6,58.5,98
15240,Mid-Coast (A),32,230.5,82,#,..,..
15300,Moree Plains (A),#,..,..,#,..,..
15650,Muswellbrook (A),9,242.2,86,#,..,..
15750,Narrabri (A),6,198.2,71,#,..,..
15900,Newcastle (C),56,198.7,71,8,32.1,54
16400,Port Stephens (A),42,336.5,120,#,..,..
17000,Singleton (A),15,292.9,104,#,..,..
17310,Tamworth Regional (A),44,349.2,124,7,94.3,158
17400a,Tenterfield (A) - part a,#,..,..,#,..,..
17620,Upper Hunter Shire (A),#,..,..,#,..,..
17650,Uralla (A),6,596.4,212,#,..,..
17850,Walcha (A),#,..,..,#,..,..
PHN109,North Coast,276,311.6,111,36,65.8,110
10250,Ballina (A),10,143.7,51,16,346,579
10600,Bellingen (A),#,..,..,#,..,..
11350,Byron (A),10,168.6,60,#,..,..
11730,Clarence Valley (A),25,300.9,107,5,95.8,160
11800,Coffs Harbour (C),68,486.3,173,5,58.1,97
14350,Kempsey (A),30,579,206,#,..,..
14550,Kyogle (A),#,..,..,#,..,..
14850,Lismore (C),22,295.9,105,#,..,..
15700,Nambucca (A),10,306.8,109,#,..,..
16380,Port Macquarie-Hastings (A),29,216.9,77,#,..,..
16610,Richmond Valley (A),9,204.6,73,#,..,..
17400b,Tenterfield (A) - part b,#,..,..,#,..,..
17550,Tweed (A),57,353.5,126,#,..,..
PHN110,Murrumbidgee,166,349.6,124,22,73,122
10650,Berrigan (A),6,418.6,149,#,..,..
10800,Bland (A),#,..,..,#,..,..
11600,Carrathool (A),#,..,..,#,..,..
12000,Coolamon (A),#,..,..,#,..,..
13510,Cootamundra-Gundagai Regional (A) ,6,337.1,120,#,..,..
12730,Edward River (A),6,385.6,137,#,..,..
12870,Federation (A),8,416.8,148,#,..,..
13340,Greater Hume Shire (A),7,309.8,110,#,..,..
13450,Griffith (C),19,329.3,117,#,..,..
13850,Hay (A),#,..,..,#,..,..
13910,Hilltops (A),17,468.7,167,#,..,..
14300,Junee (A),#,..,..,#,..,..
14600b,Lachlan (A) - part b,#,..,..,#,..,..
14750,Leeton (A),5,220.8,79,#,..,..
14950,Lockhart (A),#,..,..,#,..,..
15520,Murray River (A),10,464.3,165,#,..,..
15560,Murrumbidgee (A),#,..,..,#,..,..
15800,Narrandera (A),#,..,..,#,..,..
17080,Snowy Valleys (A),9,329.4,117,#,..,..
17350,Temora (A),#,..,..,#,..,..
17750,Wagga Wagga (C),49,366.4,130,6,62.5,105
PHN201,North Western Melbourne,747,211,75,117,44.4,74
21180,Brimbank (C),75,189.5,67,14,48.1,80
21890,Darebin (C),59,224.1,80,6,29.1,49
23110,Hobsons Bay (C),34,183.5,65,6,56.9,95
23270,Hume (C),160,300.5,107,26,80.3,134
24130a,Macedon Ranges (S) - part a,21,325.2,116,#,..,..
24330,Maribyrnong (C),20,125.6,45,6,51.6,86
24600,Melbourne (C),12,98.3,35,12,23.7,40
24650,Melton (C),99,249.3,89,15,72.2,121
25060,Moonee Valley (C),27,125.4,45,#,..,..
25150a,Moorabool (S) - part a,26,591.8,211,#,..,..
25250,Moreland (C),64,203.5,72,10,44.5,74
27260,Wyndham (C),136,189.1,67,11,35,59
27350,Yarra (C),14,115.6,41,#,..,..
PHN202,Eastern Melbourne,510,182.7,65,66,30,50
20660,Banyule (C),36,148.2,53,#,..,..
21110,Boroondara (C),17,61.7,22,#,..,..
23670,Knox (C),70,242.9,86,#,..,..
24210,Manningham (C),12,60.2,21,5,30.4,51
24410,Maroondah (C),33,147,52,#,..,..
24850a,Mitchell (S) - part a,20,518.1,184,#,..,..
24970a,Monash (C) - part a,37,128.2,46,6,16.5,28
25620a,Murrindindi (S) - part a,#,..,..,#,..,..
25710,Nillumbik (S),25,213,76,#,..,..
26980,Whitehorse (C),35,121.3,43,7,25.1,42
27070,Whittlesea (C),116,226.1,81,17,60,100
27450,Yarra Ranges (S),99,329.8,117,11,55.4,93
PHN203,South Eastern Melbourne,739,247.8,88,90,44.6,75
20910,Bayside (C),20,111.1,40,#,..,..
21450,Cardinia (S),130,497.2,177,8,57,95
21610,Casey (C),238,293.8,105,29,60.4,101
22170,Frankston (C),117,425.7,152,17,101.2,169
22310,Glen Eira (C),28,101.9,36,5,24.6,41
22670,Greater Dandenong (C),53,167.3,60,10,42.3,71
23430,Kingston (C),46,157.7,56,7,36,60
24970b,Monash (C) - part b,#,..,..,#,..,..
25340,Mornington Peninsula (S),80,289.8,103,#,..,..
25900,Port Phillip (C),16,110.9,39,#,..,..
26350,Stonnington (C),11,78.8,28,#,..,..
PHN204,Gippsland,251,499.5,178,21,68.6,115
20740,Bass Coast (S),15,261.4,93,#,..,..
20830,Baw Baw (S),62,606.5,216,7,113.4,190
22110,East Gippsland (S),26,345.5,123,#,..,..
23810,Latrobe (C),74,538.6,192,5,54.6,91
26170,South Gippsland (S),26,497.3,177,#,..,..
26810,Wellington (S),48,620.5,221,#,..,..
29399a,Unincorporated Vic - part a,#,..,..,#,..,..
PHN205,Murray,510,447.7,159,55,73.5,123
10050,Albury (C),36,340.3,121,#,..,..
20110,Alpine (S),#,..,..,#,..,..
