LGA_code,LGA_name,0-14 count,"0-14 ASR per 100,000",0-14 SR,15-24 count,"15-24 ASR per 100,000",15- 24SR
PHN101,Central and Eastern Sydney,289,117.4,57,280,126.8,43
11100,Botany Bay (C),7,82.8,40,5,73.5,25
11300,Burwood (A),#,..,..,#,..,..
11520,Canada Bay (A),19,125.6,61,14,127.1,44
11570a,Canterbury-Bankstown (A) - part a,58,176.1,85,38,175.9,60
12930,Georges River (A),54,208,100,20,90.2,31
14170,Inner West (A),24,78.9,38,7,31.5,11
16550,Randwick (C),49,218.5,106,15,57.4,20
16650,Rockdale (C),16,82.4,40,20,129.3,44
17100,Strathfield (A),9,131.6,64,#,..,..
17150,Sutherland Shire (A),56,128.7,62,110,390.6,134
17200,Sydney (C),15,83.5,40,29,72.4,25
18050,Waverley (A),7,59,29,13,187.5,64
18500,Woollahra (A),8,89,43,#,..,..
19399a,Unincorporated NSW - part a,#,..,..,#,..,..
PHN102,Northern Sydney,258,148.6,72,237,202.3,69
14000,Hornsby (A),62,211.4,102,35,173.9,60
14100,Hunters Hill (A),#,..,..,#,..,..
14500,Ku-ring-gai (A),19,75.9,37,21,113.5,39
14700,Lane Cove (A),6,75.7,37,#,..,..
15350,Mosman (A),5,93.3,45,#,..,..
15950,North Sydney (A),20,205.7,99,6,110.3,38
15990,Northern Beaches (A),94,179.7,87,124,388.7,133
16260a,Parramatta (C) - part a,10,219.2,106,#,..,..
16700,Ryde (C),23,109.7,53,10,60.5,21
18250,Willoughby (C),16,103.9,50,26,275.4,94
PHN103,Western Sydney,403,189.6,92,190,143.7,49
10750,Blacktown (C),115,136.4,66,101,199.3,68
12380,Cumberland (A),79,161.7,78,43,136.9,47
16260b,Parramatta (C) - part b,94,219.2,106,24,92.2,32
17420,The Hills Shire (A),112,303.3,147,23,92.6,32
PHN104,Nepean Blue Mountains,209,271,131,118,237,81
10900,Blue Mountains (C),40,273.9,132,13,137,47
13800,Hawkesbury (C),71,534.3,258,12,129.3,44
14870,Lithgow (C),9,239.4,116,5,225.7,77
16350,Penrith (C),89,197.3,95,87,306.1,105
PHN105,South Western Sydney,488,223.5,108,318,219.8,75
11450,Camden (A),39,161.7,78,30,229.7,79
11500,Campbelltown (C),90,241.2,117,86,365.6,125
11570b,Canterbury-Bankstown (A) - part b,77,176.1,85,51,175.9,60
12850,Fairfield (C),73,183.8,89,35,111.6,38
14900,Liverpool (C),141,275.9,133,96,291.9,100
18350,Wingecarribee (A),17,191.1,92,6,100.8,35
18400,Wollondilly (A),17,146.1,71,12,173.6,59
PHN106,South Eastern NSW,388,343.5,166,203,264.6,91
10550,Bega Valley (A),11,200.3,97,13,406.2,139
12750,Eurobodalla (A),6,105.2,51,#,..,..
13310,Goulburn Mulwaree (A),40,703.4,340,35,971.9,333
14400,Kiama (A),#,..,..,6,229.5,79
16490,Queanbeyan-Palerang Regional (A),65,533.5,258,20,282.5,97
16900,Shellharbour (C),84,578.8,280,9,92.4,32
16950,Shoalhaven (C),38,213.1,103,66,605.5,208
17040,Snowy Monaro Regional (A),55,"1,523.80",736,#,..,..
17640,Upper Lachlan Shire (A),29,"1,978.40",956,#,..,..
18450,Wollongong (C),48,123.6,60,38,121.8,42
18710,Yass Valley (A),8,225.7,109,6,288.1,99
PHN107,Western NSW,117,183.4,89,119,318.1,109
10300,Balranald (A),#,..,..,#,..,..
10470,Bathurst Regional (A),17,196.2,95,23,345.5,118
10850,Blayney (A),#,..,..,#,..,..
10950,Bogan (A),#,..,..,#,..,..
11150,Bourke (A),#,..,..,#,..,..
11200,Brewarrina (A),#,..,..,#,..,..
11250,Broken Hill (C),12,409.5,198,12,655.3,225
11400,Cabonne (A),#,..,..,#,..,..
11700,Central Darling (A),#,..,..,#,..,..
11750,Cobar (A),#,..,..,#,..,..
12150,Coonamble (A),#,..,..,#,..,..
12350,Cowra (A),#,..,..,6,426.1,146
18230,Dubbo Regional (A),27,231.7,112,8,120.1,41
12900,Forbes (A),#,..,..,#,..,..
12950,Gilgandra (A),#,..,..,#,..,..
14600a,Lachlan (A) - part a,#,..,..,#,..,..
15270,Mid-Western Regional (A),#,..,..,15,548,188
15850,Narromine (A),#,..,..,#,..,..
16100,Oberon (A),#,..,..,#,..,..
16150,Orange (C),12,135.2,65,13,246,84
16200,Parkes (A),#,..,..,6,315.4,108
17900,Walgett (A),#,..,..,5,"1,090.80",374
17950,Warren (A),#,..,..,#,..,..
18020,Warrumbungle Shire (A),#,..,..,#,..,..
18100,Weddin (A),#,..,..,#,..,..
18200,Wentworth (A),#,..,..,#,..,..
19399b,Unincorporated NSW - part b,#,..,..,#,..,..
PHN108,Hunter New England and Central Coast,505,209.5,101,561,359.1,123
10130,Armidale Regional (A),8,155.4,75,11,190,65
11650,Central Coast (C),149,230.8,111,78,189,65
11720,Cessnock (C),31,244.3,118,25,335.6,115
12700,Dungog (A),8,449.5,217,#,..,..
13010,Glen Innes Severn (A),#,..,..,#,..,..
13550,Gunnedah (A),#,..,..,25,"1,752.50",601
13660,Gwydir (A),#,..,..,#,..,..
14200,Inverell (A),8,220,106,10,497,170
14650,Lake Macquarie (C),69,177.9,86,86,347.3,119
14920,Liverpool Plains (A),#,..,..,#,..,..
15050,Maitland (C),52,280.9,136,37,351.2,120
15240,Mid-Coast (A),26,178.3,86,23,258.5,89
15300,Moree Plains (A),#,..,..,28,"1,843.80",632
15650,Muswellbrook (A),5,134.2,65,7,349.3,120
15750,Narrabri (A),5,177.3,86,68,"4,663.90",1599
15900,Newcastle (C),49,174.8,84,55,230.6,79
16400,Port Stephens (A),32,244.9,118,27,328.2,112
17000,Singleton (A),12,239.4,116,15,522.1,179
17310,Tamworth Regional (A),24,187,90,37,489.3,168
17400a,Tenterfield (A) - part a,#,..,..,#,..,..
17620,Upper Hunter Shire (A),11,377.3,182,10,638.1,219
17650,Uralla (A),#,..,..,#,..,..
17850,Walcha (A),#,..,..,#,..,..
PHN109,North Coast,171,185.4,90,230,410.5,141
10250,Ballina (A),19,255,123,13,267.1,92
10600,Bellingen (A),#,..,..,#,..,..
11350,Byron (A),9,152.3,74,7,202.1,69
11730,Clarence Valley (A),16,184.8,89,17,319.1,109
11800,Coffs Harbour (C),31,215.3,104,83,946.5,324
14350,Kempsey (A),13,250.2,121,14,441.9,151
14550,Kyogle (A),#,..,..,#,..,..
14850,Lismore (C),16,202.4,98,13,238.9,82
15700,Nambucca (A),9,262.1,127,12,631.3,216
16380,Port Macquarie-Hastings (A),21,147.8,71,35,415.1,142
16610,Richmond Valley (A),6,129,62,#,..,..
17400b,Tenterfield (A) - part b,#,..,..,#,..,..
