LGA_code,LGA_name,0-14 count,"0-14 ASR per 100,001",0-14 SR,15-24 count,"15-24 ASR per 100,001",15- 24SR
PHN101,Central and Eastern Sydney,166,71.9,58,"1,421",625.3,53
11100,Botany Bay (C),6,77.5,63,59,847.4,72
11300,Burwood (A),#,..,..,35,480.8,41
11520,Canada Bay (A),16,112.5,91,75,657.3,56
11570a,Canterbury-Bankstown (A) - part a,12,38.8,31,119,541.9,46
12930,Georges River (A),16,64.4,52,119,523.9,44
14170,Inner West (A),30,110.5,89,267,"1,168.50",99
16550,Randwick (C),27,127.1,103,197,727,62
16650,Rockdale (C),9,49.6,40,62,386.5,33
17100,Strathfield (A),#,..,..,27,373.9,32
17150,Sutherland Shire (A),17,38.3,31,124,443.1,38
17200,Sydney (C),16,128.7,104,243,554,47
18050,Waverley (A),6,52,42,61,844.3,72
18500,Woollahra (A),#,..,..,40,627.9,53
19399a,Unincorporated NSW - part a,#,..,..,#,..,..
PHN102,Northern Sydney,218,122.7,99,"1,203","1,034.20",88
14000,Hornsby (A),55,177.9,144,216,"1,083.40",92
14100,Hunters Hill (A),#,..,..,26,"1,208.30",103
14500,Ku-ring-gai (A),35,121.7,98,174,966.4,82
14700,Lane Cove (A),#,..,..,42,978.5,83
15350,Mosman (A),7,120.7,98,57,"1,722.60",146
15950,North Sydney (A),#,..,..,82,"1,411.10",120
15990,Northern Beaches (A),74,136.2,110,327,"1,041.10",88
16260a,Parramatta (C) - part a,#,..,..,27,965.5,82
16700,Ryde (C),17,90.2,73,152,854,72
18250,Willoughby (C),10,62.2,50,100,"1,055.60",90
PHN103,Western Sydney,117,58.5,47,"1,125",852.9,72
10750,Blacktown (C),54,66.8,54,507,"1,002.50",85
12380,Cumberland (A),17,38.5,31,189,585.6,50
16260b,Parramatta (C) - part b,29,77.1,62,254,965.5,82
17420,The Hills Shire (A),23,58.3,47,180,740.4,63
PHN104,Nepean Blue Mountains,96,124.5,101,453,919.8,78
10900,Blue Mountains (C),24,156.2,126,83,893.1,76
13800,Hawkesbury (C),28,207.6,168,77,824.3,70
14870,Lithgow (C),#,..,..,16,705,60
16350,Penrith (C),40,91.4,74,279,978.6,83
PHN105,South Western Sydney,207,95.2,77,"1,320",919,78
11450,Camden (A),23,99.8,81,163,"1,244.90",106
11500,Campbelltown (C),59,163.4,132,372,"1,591.10",135
11570b,Canterbury-Bankstown (A) - part b,16,38.8,31,157,541.9,46
12850,Fairfield (C),42,101.6,82,206,654.3,56
14900,Liverpool (C),47,92.4,75,292,901,76
18350,Wingecarribee (A),15,152.6,123,67,"1,168.30",99
18400,Wollondilly (A),9,74.6,60,57,808.1,69
PHN106,South Eastern NSW,146,125.1,101,853,"1,120.30",95
10550,Bega Valley (A),5,86.3,70,51,"1,598.60",136
12750,Eurobodalla (A),17,272.8,221,76,"2,300.20",195
13310,Goulburn Mulwaree (A),5,92,74,60,"1,700.30",144
14400,Kiama (A),6,141.4,114,16,626.2,53
16490,Queanbeyan-Palerang Regional (A),21,176.9,143,78,"1,126.90",96
16900,Shellharbour (C),13,86.9,70,97,"1,008.50",86
16950,Shoalhaven (C),16,87.3,71,134,"1,251.80",106
17040,Snowy Monaro Regional (A),#,..,..,23,"1,033.60",88
17640,Upper Lachlan Shire (A),5,344.4,279,8,907,77
18450,Wollongong (C),47,120.5,97,285,904.7,77
18710,Yass Valley (A),5,132,107,25,"1,313.30",111
PHN107,Western NSW,89,138.2,112,512,"1,385.00",118
10300,Balranald (A),#,..,..,#,..,..
