LGA_code,LGA_name,0-14 count,"0-14 ASR per 100,001",0-14 SR,15-24 count,"15-24 ASR per 100,001",15- 24SR
PHN101,Central and Eastern Sydney,970,382.9,74,387,168.2,45
11100,Botany Bay (C),63,716.6,138,11,156.5,42
11300,Burwood (A),16,307.6,59,16,219.6,59
11520,Canada Bay (A),39,243.1,47,32,279.1,75
11570a,Canterbury-Bankstown (A) - part a,161,476.5,92,58,266,72
12930,Georges River (A),85,323.9,63,40,175.9,47
14170,Inner West (A),86,277.7,54,50,215.8,58
16550,Randwick (C),131,571.3,110,21,76.4,21
16650,Rockdale (C),94,467.4,90,33,206.6,56
17100,Strathfield (A),14,199.1,38,#,..,..
17150,Sutherland Shire (A),167,386.3,75,69,248.4,67
17200,Sydney (C),68,341.3,66,35,77.1,21
18050,Waverley (A),52,421.6,81,17,239.8,65
18500,Woollahra (A),53,588.3,114,12,186.6,50
19399a,Unincorporated NSW - part a,#,..,..,#,..,..
PHN102,Northern Sydney,400,233.9,45,235,202.9,55
14000,Hornsby (A),76,264.1,51,48,242.4,65
14100,Hunters Hill (A),12,481.7,93,#,..,..
14500,Ku-ring-gai (A),45,192.2,37,41,229.7,62
14700,Lane Cove (A),13,170.6,33,10,232.7,63
15350,Mosman (A),10,193.3,37,7,213.3,57
15950,North Sydney (A),42,391.7,76,12,212.8,57
15990,Northern Beaches (A),108,210.3,41,50,160.2,43
16260a,Parramatta (C) - part a,18,378.5,73,6,206.2,55
16700,Ryde (C),60,277.9,54,39,214,58
18250,Willoughby (C),22,145.2,28,21,217.8,59
PHN103,Western Sydney,781,359.8,70,408,307.8,83
10750,Blacktown (C),272,316.1,61,153,302.6,81
12380,Cumberland (A),256,502.6,97,131,402.4,108
16260b,Parramatta (C) - part b,170,378.5,73,54,206.2,55
17420,The Hills Shire (A),77,214.6,41,69,283.4,76
PHN104,Nepean Blue Mountains,393,509.5,98,193,390.9,105
10900,Blue Mountains (C),59,422,82,22,238.3,64
13800,Hawkesbury (C),49,369.3,71,13,135.1,36
14870,Lithgow (C),44,"1,200.00",232,7,317.3,85
16350,Penrith (C),241,524.7,101,151,529.1,142
PHN105,South Western Sydney,"1,397",636.5,123,411,286.8,77
11450,Camden (A),226,920.8,178,51,391.9,105
11500,Campbelltown (C),244,645.2,125,91,391,105
11570b,Canterbury-Bankstown (A) - part b,212,476.5,92,77,266,72
12850,Fairfield (C),196,497.9,96,62,197.2,53
14900,Liverpool (C),309,602.3,116,78,241.2,65
18350,Wingecarribee (A),73,855.1,165,26,460,124
18400,Wollondilly (A),80,705.3,136,14,199.1,54
PHN106,South Eastern NSW,625,561.2,108,228,299.9,81
10550,Bega Valley (A),24,457.1,88,8,248.9,67
12750,Eurobodalla (A),27,509.7,98,25,772.6,208
13310,Goulburn Mulwaree (A),37,666.9,129,17,484.5,130
14400,Kiama (A),28,719.9,139,#,..,..
16490,Queanbeyan-Palerang Regional (A),85,696.9,135,39,567.3,153
16900,Shellharbour (C),82,571.9,110,24,250.8,67
16950,Shoalhaven (C),100,569.3,110,22,207,56
17040,Snowy Monaro Regional (A),16,469.2,91,8,341.9,92
17640,Upper Lachlan Shire (A),#,..,..,#,..,..
18450,Wollongong (C),204,526.4,102,74,234,63
18710,Yass Valley (A),16,476.7,92,6,292.9,79
PHN107,Western NSW,383,617.1,119,128,348.8,94
10300,Balranald (A),#,..,..,#,..,..
10470,Bathurst Regional (A),83,987.2,191,12,182.2,49
10850,Blayney (A),#,..,..,7,832.8,224
10950,Bogan (A),#,..,..,#,..,..
11150,Bourke (A),#,..,..,#,..,..
11200,Brewarrina (A),#,..,..,#,..,..
11250,Broken Hill (C),17,555.8,107,#,..,..
11400,Cabonne (A),18,644.2,124,5,361.8,97
11700,Central Darling (A),#,..,..,#,..,..
11750,Cobar (A),5,476.7,92,#,..,..
12150,Coonamble (A),#,..,..,#,..,..
12350,Cowra (A),15,682.2,132,#,..,..
18230,Dubbo Regional (A),74,637.1,123,38,569.6,153
12900,Forbes (A),10,501.1,97,#,..,..
12950,Gilgandra (A),#,..,..,#,..,..
14600a,Lachlan (A) - part a,#,..,..,#,..,..
15270,Mid-Western Regional (A),32,614.8,119,11,421.1,113
15850,Narromine (A),#,..,..,#,..,..
16100,Oberon (A),10,"1,100.70",213,5,744,200
16150,Orange (C),58,618.8,120,14,265.3,71
16200,Parkes (A),13,438.7,85,6,325,87
17900,Walgett (A),#,..,..,#,..,..
17950,Warren (A),#,..,..,#,..,..
18020,Warrumbungle Shire (A),7,397,77,#,..,..
18100,Weddin (A),#,..,..,#,..,..
18200,Wentworth (A),6,422.7,82,#,..,..
19399b,Unincorporated NSW - part b,#,..,..,#,..,..
PHN108,Hunter New England and Central Coast,761,318.9,62,472,306.3,82
10130,Armidale Regional (A),24,450.3,87,7,110.1,30
11650,Central Coast (C),285,447.2,86,131,323.1,87
11720,Cessnock (C),21,170,33,30,413.9,111
12700,Dungog (A),#,..,..,#,..,..
13010,Glen Innes Severn (A),6,387.1,75,#,..,..
13550,Gunnedah (A),9,332.2,64,#,..,..
13660,Gwydir (A),#,..,..,#,..,..
14200,Inverell (A),5,150.9,29,#,..,..
14650,Lake Macquarie (C),94,242.4,47,77,318.6,86
14920,Liverpool Plains (A),#,..,..,#,..,..
15050,Maitland (C),55,297.6,57,31,300.7,81
15240,Mid-Coast (A),46,325.6,63,27,317.1,85
15300,Moree Plains (A),31,"1,010.30",195,6,372.8,100
15650,Muswellbrook (A),12,322.4,62,#,..,..
15750,Narrabri (A),6,216,42,#,..,..
15900,Newcastle (C),55,194,37,68,276.9,74
16400,Port Stephens (A),32,249.8,48,17,214.1,58
17000,Singleton (A),9,170.5,33,7,240.9,65
17310,Tamworth Regional (A),52,409.9,79,34,464.8,125
17400a,Tenterfield (A) - part a,#,..,..,#,..,..
17620,Upper Hunter Shire (A),6,215.2,42,6,399.3,107
17650,Uralla (A),#,..,..,7,"1,154.20",310
17850,Walcha (A),#,..,..,#,..,..
PHN109,North Coast,546,609.3,118,162,300.4,81
10250,Ballina (A),74,"1,029.20",199,21,459.2,123
10600,Bellingen (A),#,..,..,#,..,..
11350,Byron (A),41,703.2,136,#,..,..
11730,Clarence Valley (A),47,556.3,107,9,177.8,48
11800,Coffs Harbour (C),52,368.5,71,23,273,73
14350,Kempsey (A),10,195.5,38,6,184.5,50
