LGA_code,LGA_name,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total females
20110,Alpine (S),300,355,458,346,274,272,263,296,338,451,425,497,549,516,471,269,184,162,6426
20260,Ararat (RC),323,341,330,302,309,352,365,403,395,414,475,443,490,469,406,261,174,150,6402
20570,Ballarat (C),3607,3701,3699,3400,4080,4319,3562,3369,3150,3320,2981,3235,2954,2669,2406,1631,989,882,53954
20660,Banyule (C),4011,4255,3931,3663,4044,4660,4596,4601,4492,4490,3989,3656,3455,3073,2880,2176,1351,1248,64571
20740,Bass Coast (S),957,1139,1083,968,671,802,913,949,888,1076,1095,1315,1463,1560,1426,980,577,481,18343
20830,Baw Baw (S),1716,1796,1952,1577,1604,1539,1703,1546,1408,1558,1574,1777,1769,1567,1484,1055,698,456,26779
20910,Bayside (C),2473,3395,3889,3801,3137,2448,2041,2684,3261,4054,3982,3729,3221,2716,2521,1767,1124,1302,51545
21010,Benalla (RC),361,403,397,379,410,285,343,290,311,393,420,511,576,533,538,367,211,177,6905
21110,Boroondara (C),3861,5157,6152,6516,7729,7334,6176,5160,4995,5772,5753,5538,4688,4010,3625,2491,1706,1768,88431
21180,Brimbank (C),6767,6424,5922,6208,8464,9957,8667,7706,6545,6295,6172,6045,5637,4810,4243,2795,1750,1332,105739
21270,Buloke (S),138,168,197,191,134,111,126,118,140,182,221,247,288,283,235,136,124,114,3153
21370,Campaspe (S),1005,1104,1228,1223,1070,975,829,876,892,1185,1200,1317,1412,1294,1103,946,584,437,18680
21450,Cardinia (S),4705,4770,4184,3702,3717,4252,4764,4458,3749,3717,3395,2981,2687,2139,1834,1253,751,556,57614
21610,Casey (C),14544,14929,13426,11723,13241,14148,14313,15516,12929,11787,10532,9563,8105,6327,4953,3149,2152,1548,182885
21670,Central Goldfields (S),318,333,403,372,344,336,242,217,300,341,430,452,528,549,516,382,268,163,6494
